,payloads,is_malicious
0,Nokia,0
1,Sony,0
2,BMW,0
3,Palm,0
4,Adobe,0
5,Nostradamus,0
6,Osama bin Laden,0
7,Eminem,0
8,Michael Jackson,0
9,Howard Stern,0
10,Harry Potter,0
11,Lord of the Rings,0
12,Final Fantasy,0
13,Tomb Raider,0
14,Shrek,0
15,Morpheus,0
16,Napster,0
17,Gnutella,0
18,Kazaa,0
19,Audiogalaxy,0
20,Beatles,0
21,U2,0
22,N Sync,0
23,Backstreet Boys,0
24,Linkin Park,0
25,Windows XP,0
26,Xbox,0
27,PlayStation 2,0
28,GameCube,0
29,Nokia 5510,0
30,CNN,0
31,BBC,0
32,New York Times,0
33,MSNBC,0
34,Washington Post,0
35,Amazon,0
36,IKEA,0
37,"Toys ""R"" Us",0
38,Walmart,0
39,Circuit City,0
40,Anna Kournikova,0
41,Tour de France,0
42,Dale Earnhardt,0
43,Wimbledon,0
44,US Open,0
45,Loft Story,0
46,Big Brother,0
47,The Simpsons,0
48,Survivor,0
49,Gran Hermano,0
50,Counterstrike,0
51,The Sims,0
52,Operation Flashpoint,0
53,Moorhuhn 3,0
54,Wolfenstein,0
55,Britney Spears,0
56,Pamela Anderson,0
57,Jennifer Lopez,0
58,Madonna,0
59,Aaliyah,0
60,David Beckham,0
61,Anna Kournikova,0
62,Ronaldo,0
63,Kobe Bryant,0
64,Zinedine Zidane,0
65,Ferrari,0
66,Sony,0
67,Nokia,0
68,Disney,0
69,IKEA,0
70,The Simpsons,0
71,Snoopy,0
72,Superman,0
73,Batman,0
74,Eminem,0
75,Brad Pitt,0
76,David Beckham,0
77,Josh Hartnett,0
78,2Pac,0
79,Spiderman,0
80,Harry Potter,0
81,Star Wars,0
82,Jackass,0
83,Scooby Doo,0
84,Eminem,0
85,Shakira,0
86,Madonna,0
87,Nelly,0
88,2Pac,0
89,World Cup,0
90,Iraq,0
91,Sniper,0
92,Hurricane Lili,0
93,Hochwasser,0
94,IKEA,0
95,Home Depot,0
96,Walmart,0
97,Best Buy,0
98,Sears,0
99,MP3,0
100,SMS,0
101,WinZip,0
102,Linux,0
103,FTP,0
104,Paris,0
105,Canada,0
106,New York,0
107,India,0
108,Las Vegas,0
109,The Simpsons,0
110,Big Brother,0
111,The Osbournes,0
112,South Park,0
113,SpongeBob SquarePants,0
114,The Sims,0
