,payloads,length,nonprintable_keywords,special_chars,punctuation_chars,js_events,html_tags,sql_keywords,percentage_count,spaces_count,is_malicious
0,Nokia,5,0,0,0,0,0,0,0,0,0
1,Sony,4,0,0,0,0,0,0,0,0,0
2,BMW,3,0,0,0,0,0,0,0,0,0
3,Palm,4,0,0,0,0,0,0,0,0,0
4,Adobe,5,0,0,0,0,0,0,0,0,0
5,Nostradamus,11,0,0,0,0,0,0,0,0,0
6,Osama bin Laden,15,0,0,0,0,0,3,0,2,0
7,Eminem,6,0,0,0,0,0,0,0,0,0
8,Michael Jackson,15,0,0,0,0,0,0,0,1,0
9,Howard Stern,12,0,0,0,0,0,0,0,1,0
10,Harry Potter,12,0,0,0,0,0,0,0,1,0
11,Lord of the Rings,17,0,0,0,0,0,4,0,3,0
12,Final Fantasy,13,0,0,0,0,0,0,0,1,0
13,Tomb Raider,11,0,0,0,0,0,0,0,1,0
14,Shrek,5,0,0,0,0,0,0,0,0,0
15,Morpheus,8,0,0,0,0,0,0,0,0,0
16,Napster,7,0,0,0,0,0,0,0,0,0
17,Gnutella,8,0,0,0,0,0,0,0,0,0
18,Kazaa,5,0,0,0,0,0,0,0,0,0
19,Audiogalaxy,11,0,0,0,0,0,0,0,0,0
20,Beatles,7,0,0,0,0,0,0,0,0,0
21,U2,2,0,0,0,0,0,0,0,0,0
22,N Sync,6,0,0,0,0,0,197,0,1,0
23,Backstreet Boys,15,0,0,0,0,0,0,0,1,0
24,Linkin Park,11,0,0,0,0,0,0,0,1,0
25,Windows XP,10,0,0,0,0,0,2,0,1,0
26,Xbox,4,0,0,0,0,0,0,0,0,0
27,PlayStation 2,13,0,0,0,0,0,1,0,1,0
28,GameCube,8,0,0,0,0,0,0,0,0,0
29,Nokia 5510,10,0,0,0,0,0,0,0,1,0
30,CNN,3,0,0,0,0,0,0,0,0,0
31,BBC,3,0,0,0,0,0,0,0,0,0
32,New York Times,14,0,0,0,0,0,5,0,2,0
33,MSNBC,5,0,0,0,0,0,0,0,0,0
34,Washington Post,15,0,0,0,0,0,0,0,1,0
35,Amazon,6,0,0,0,0,0,0,0,0,0
36,IKEA,4,0,0,0,0,0,0,0,0,0
37,"Toys ""R"" Us",11,0,2,2,0,0,10,0,2,0
38,Walmart,7,0,0,0,0,0,0,0,0,0
39,Circuit City,12,0,0,0,0,0,0,0,1,0
40,Anna Kournikova,15,0,0,0,0,0,0,0,1,0
41,Tour de France,14,0,0,0,0,0,28,0,2,0
42,Dale Earnhardt,14,0,0,0,0,0,0,0,1,0
43,Wimbledon,9,0,0,0,0,0,0,0,0,0
44,US Open,7,0,0,0,0,0,11,0,1,0
45,Loft Story,10,0,0,0,0,0,0,0,1,0
46,Big Brother,11,0,0,0,0,0,2,0,1,0
47,The Simpsons,12,0,0,0,0,0,2,0,1,0
